Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
"El curso de formación comienza la próxima semana, ¡te esperamos!",0
"¡Atención! Tu suscripción ha expirado, renuévala ahora.",1
Recibe depósitos inmediatos con nuestro nuevo método secreto.,1
Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
Compra ahora y obtén un 50% de descuento en todos los productos.,1
Recibe depósitos inmediatos con nuestro nuevo método secreto.,1
Haz clic aquí para obtener acceso ilimitado a contenido exclusivo.,1
"Estimado usuario, su cuenta ha sido verificada con éxito.",0
Oferta especial: trabaja desde casa y gana dinero fácilmente.,1
"Estimado usuario, su cuenta ha sido verificada con éxito.",0
Te invitamos a la reunión del viernes a las 10 AM.,0
¡Felicidades! Has ganado un premio. Reclámalo ahora.,1
"¡Atención! Tu suscripción ha expirado, renuévala ahora.",1
Confirma tu asistencia al evento de la empresa este jueves.,0
Compra ahora y obtén un 50% de descuento en todos los productos.,1
Te invitamos a la reunión del viernes a las 10 AM.,0
Gana un iPhone 15 ahora mismo participando en esta encuesta.,1
Gana un iPhone 15 ahora mismo participando en esta encuesta.,1
"Mamá, ¿qué te parece si cenamos juntos esta noche?",0
Haz clic aquí para obtener acceso ilimitado a contenido exclusivo.,1
Gracias por su compra. Adjuntamos su recibo de pago.,0
Gana un iPhone 15 ahora mismo participando en esta encuesta.,1
"Estimado cliente, su factura de este mes está disponible en su cuenta.",0
Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
"Estimado cliente, su factura de este mes está disponible en su cuenta.",0
Recordatorio: Su cita médica es mañana a las 8:30 AM.,0
¡Felicidades! Has ganado un premio. Reclámalo ahora.,1
"¡Atención! Tu suscripción ha expirado, renuévala ahora.",1
"Hola Juan, adjunto el informe que solicitaste.",0
Oferta especial: trabaja desde casa y gana dinero fácilmente.,1
Confirma tu asistencia al evento de la empresa este jueves.,0
Gracias por su compra. Adjuntamos su recibo de pago.,0
"Mamá, ¿qué te parece si cenamos juntos esta noche?",0
Confirma tu asistencia al evento de la empresa este jueves.,0
"¡Atención! Tu suscripción ha expirado, renuévala ahora.",1
"El curso de formación comienza la próxima semana, ¡te esperamos!",0
"Mamá, ¿qué te parece si cenamos juntos esta noche?",0
Oferta especial: trabaja desde casa y gana dinero fácilmente.,1
Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
¡Felicidades! Has ganado un premio. Reclámalo ahora.,1
"Hola Juan, adjunto el informe que solicitaste.",0
"Estimado usuario, su cuenta ha sido verificada con éxito.",0
"¡Atención! Tu suscripción ha expirado, renuévala ahora.",1
Confirma tu asistencia al evento de la empresa este jueves.,0
Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
"Gana dinero fácil sin esfuerzo, descubre cómo aquí.",1
Recordatorio: Su cita médica es mañana a las 8:30 AM.,0
¡Felicidades! Has ganado un premio. Reclámalo ahora.,1
Te invitamos a la reunión del viernes a las 10 AM.,0
"Mamá, ¿qué te parece si cenamos juntos esta noche?",0
Urgente: su cuenta ha sido bloqueada. Ingrese aquí para reactivarla.,1
Se ha programado el mantenimiento del sistema este sábado.,0
